Cottoperca gobio	Nematoda
Pseudochaenichthys georgianus	Mollusca
Cyclopterus lumpus	Mollusca
Epinephelus lanceolatus	Mollusca
Plectropomus leopardus	Mollusca
Sander lucioperca	Mollusca
Etheostoma cragini	Mollusca
Etheostoma spectabile	Arthropoda
Perca fluviatilis	Arthropoda
Perca flavescens	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Arthropoda
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
	Chordata
