Bivalvia	Crassostrea virginica	6565	28
Bivalvia	Crassostrea gigas	29159	26
Chordata	Branchiostoma floridae	7739	22
Gastropoda	Gigantopelta aegis	1735272	22
Actinopteri	Salmo trutta	8032	18
Actinopteri	Acipenser ruthenus	7906	17
Octopus	Octopus sinensis	2607531	15
Bivalvia	Pecten maximus	6579	14
Chordata	Petromyzon marinus	7757	14
Actinopteri	Carassius auratus	7957	14
Gastropoda	Patella vulgata	6465	13
Actinopteri	Salmo salar	8030	13
Octopus	Octopus bimaculoides	37653	12
Gastropoda	Pomacea canaliculata	400727	12
Actinopteri	Esox lucius	8010	11
Actinopteri	Anguilla anguilla	7936	10
Actinopteri	Chanos chanos	29144	10
Actinopteri	Coregonus clupeaformis	59861	10
Actinopteri	Solea senegalensis	28829	9
Actinopteri	Polyodon spathula	7913	9
Actinopteri	Etheostoma spectabile	54343	9
Actinopteri	Micropterus dolomieu	147949	9
Actinopteri	Sander lucioperca	283035	9
Actinopteri	Cyprinus carpio	7962	9
Actinopteri	Brienomyrus brachyistius	42636	9
Actinopteri	Kryptolebias marmoratus	37003	9
Actinopteri	Oncorhynchus kisutch	8019	9
Actinopteri	Salvelinus namaycush	8040	9
Actinopteri	Oncorhynchus mykiss	8022	8
Actinopteri	Oncorhynchus tshawytscha	74940	8
Actinopteri	Ictalurus punctatus	7998	8
Actinopteri	Fundulus heteroclitus	8078	8
Actinopteri	Gasterosteus aculeatus aculeatus	69293	8
Actinopteri	Tachysurus fulvidraco	1234273	8
Actinopteri	Oncorhynchus gorbuscha	8017	8
Actinopteri	Megalops cyprinoides	118141	8
Actinopteri	Melanotaenia boesemani	1250792	8
Polypteridae	Erpetoichthys calabaricus	27687	8
Actinopteri	Anabas testudineus	64144	8
Actinopteri	Gambusia affinis	33528	7
Actinopteri	Etheostoma cragini	417921	7
Actinopteri	Girardinichthys multiradiatus	208333	7
Actinopteri	Salvelinus sp. IW2-2015	2691554	7
Actinopteri	Epinephelus lanceolatus	310571	7
Actinopteri	Oreochromis niloticus	8128	7
Actinopteri	Acanthopagrus latus	8177	7
Actinopteri	Silurus meridionalis	175797	7
Actinopteri	Archocentrus centrarchus	63155	7
Actinopteri	Xiphophorus maculatus	8083	7
Actinopteri	Xiphophorus hellerii	8084	7
Actinopteri	Alosa sapidissima	34773	7
Actinopteri	Mastacembelus armatus	205130	7
Actinopteri	Thunnus maccoyii	8240	7
Actinopteri	Betta splendens	158456	7
Actinopteri	Lates calcarifer	8187	7
Actinopteri	Thunnus albacares	8236	7
Actinopteri	Hypomesus transpacificus	137520	7
Actinopteri	Oreochromis aureus	47969	7
Actinopteri	Sparus aurata	8175	7
Actinopteri	Poecilia reticulata	8081	6
Actinopteri	Perca fluviatilis	8168	6
Actinopteri	Clupea harengus	7950	6
Actinopteri	Salarias fasciatus	181472	6
Polypteridae	Polypterus senegalus	55291	6
Actinopteri	Cottoperca gobio	56716	6
Actinopteri	Cheilinus undulatus	241271	6
Chordata	Protopterus annectens	7888	6
Actinopteri	Periophthalmus magnuspinnatus	409849	6
Actinopteri	Perca flavescens	8167	6
Actinopteri	Plectropomus leopardus	160734	6
Actinopteri	Gouania willdenowi	441366	6
Actinopteri	Astyanax mexicanus	7994	6
Actinopteri	Hippoglossus stenolepis	195615	6
Actinopteri	Xiphophorus couchianus	32473	6
Actinopteri	Xiphias gladius	8245	6
Chondrichthyes	Amblyraja radiata	386614	6
Amphibia	Xenopus tropicalis	8364	6
Actinopteri	Megalobrama amblycephala	75352	6
Actinopteri	Notolabrus celidotus	1203425	6
Actinopteri	Larimichthys crocea	215358	6
Actinopteri	Oncorhynchus nerka	8023	6
Actinopteri	Epinephelus fuscoguttatus	293821	6
Actinopteri	Puntigrus tetrazona	1606681	6
Actinopteri	Hippoglossus hippoglossus	8267	6
Actinopteri	Siniperca chuatsi	119488	6
Actinopteri	Sebastes umbrosus	72105	6
Actinopteri	Scophthalmus maximus	52904	6
Actinopteri	Cyclopterus lumpus	8103	6
Actinopteri	Epinephelus moara	300413	6
Actinopteri	Oryzias melastigma	30732	5
Actinopteri	Nematolebias whitei	451745	5
Testudines	Dermochelys coriacea	27794	5
Mammalia	Ovis aries	9940	5
Actinopteri	Gadus morhua	8049	5
Actinopteri	Myripristis murdjan	586833	5
Actinopteri	Parambassis ranga	210632	5
Actinopteri	Cynoglossus semilaevis	244447	5
Actinopteri	Echeneis naucrates	173247	5
Actinopteri	Mugil cephalus	48193	5
Actinopteri	Scatophagus argus	75038	5
Mammalia	Cervus canadensis	1574408	5
Chondrichthyes	Scyliorhinus canicula	7830	5
Actinopteri	Thalassophryne amazonica	390379	5
Squamata	Thamnophis elegans	35005	5
Actinopteri	Toxotes jaculatrix	941984	5
Testudines	Chelonia mydas	8469	5
Mammalia	Cervus elaphus	9860	5
Actinopteri	Sphaeramia orbicularis	375764	5
Mammalia	Bubalus bubalis	89462	5
Actinopteri	Scleropages formosus	113540	5
Actinopteri	Alosa alosa	278164	5
Squamata	Sphaerodactylus townsendi	933632	4
Amphibia	Geotrypetes seraphini	260995	4
Mammalia	Bos taurus	9913	4
Mammalia	Bos indicus x Bos taurus	30522	4
Mammalia	Pan paniscus	9597	4
Mammalia	Bos indicus	9915	4
Actinopteri	Oryzias latipes	8090	4
Mammalia	Camelus ferus	419612	4
Actinopteri	Pseudochaenichthys georgianus	52239	4
Actinopteri	Pygocentrus nattereri	42514	4
Chondrichthyes	Stegostoma fasciatum	378071	4
Insecta	Manduca sexta	7130	4
Amphibia	Microcaecilia unicolor	1415580	4
Actinopteri	Maylandia zebra	106582	4
Anthozoa	Nematostella vectensis	45351	4
Insecta	Neodiprion fabricii	2872261	4
Insecta	Neodiprion lecontei	441921	4
Insecta	Neodiprion pinetum	441929	4
Insecta	Neodiprion virginianus	2961670	4
Actinopteri	Astatotilapia calliptera	8154	4
Actinopteri	Nothobranchius furzeri	105023	4
Actinopteri	Lepisosteus oculatus	7918	4
Insecta	Tribolium castaneum	7070	4
Insecta	Teleopsis dalmanni	139649	4
Actinopteri	Syngnathus acus	161584	4
Mammalia	Papio anubis	9555	4
Mammalia	Sus scrofa	9823	4
Insecta	Bradysia coprophila	38358	4
Daphnia	Daphnia magna	35525	4
Testudines	Caretta caretta	8467	4
Chondrichthyes	Rhincodon typus	259920	4
Mammalia	Capra hircus	9925	4
Insecta	Diprion similis	362088	4
Actinopteri	Denticeps clupeoides	299321	4
Daphnia	Daphnia pulicaria	35523	4
Mammalia	Phacochoerus africanus	41426	4
Chondrichthyes	Chiloscyllium plagiosum	36176	4
Amphibia	Rhinatrema bivittatum	194408	4
Actinopteri	Danio rerio	7955	4
Actinopteri	Chelmon rostratus	109905	4
Actinopteri	Electrophorus electricus	8005	4
Insecta	Monomorium pharaonis	307658	4
Insecta	Drosophila albomicans	7291	4
Chondrichthyes	Carcharodon carcharias	13397	4
Amphibia	Rana temporaria	8407	4
Insecta	Culex pipiens pallens	7175	4
Mammalia	Neomonachus schauinslandi	29088	3
Mammalia	Mus caroli	10089	3
Mammalia	Ochotona princeps	9978	3
Mammalia	Zalophus californianus	9704	3
Insecta	Nymphalis io	171585	3
Mammalia	Mus musculus	10090	3
Mammalia	Pongo abelii	9601	3
Mammalia	Rattus rattus	10117	3
Mammalia	Nomascus leucogenys	61853	3
