Lingula anatina	7574	33
Haliotis rufescens	6454	21
Haliotis rubra	36100	18
Ostrea edulis	37623	16
Branchiostoma belcheri	7741	13
Mizuhopecten yessoensis	6573	13
Lottia gigantea	225164	11
Priapulus caudatus	37621	10
Sinocyclocheilus anshuiensis	1608454	10
Styela clava	7725	10
Aplysia californica	6500	9
Poecilia mexicana	48701	9
Poecilia latipinna	48699	9
Sinocyclocheilus grahami	75366	9
Sinocyclocheilus rhinocerous	307959	8
Poecilia formosa	48698	8
Stegastes partitus	144197	7
Monopterus albus	43700	7
Trematomus bernacchii	40690	7
Onthophagus taurus	166361	7
Rhagoletis zephyria	28612	7
Austrofundulus limnaeus	52670	7
Colossoma macropomum	42526	7
Ceratina calcarata	156304	6
Seriola dumerili	41447	6
Aedes albopictus	7160	6
Seriola lalandi dorsalis	302047	6
Eurytemora affinis	88015	6
Morone saxatilis	34816	6
Boleophthalmus pectinirostris	150288	6
Pungitius pungitius	134920	6
Labrus bergylta	56723	6
Cyprinodon variegatus	28743	6
Paramormyrops kingsleyae	1676925	6
Micropterus salmoides	27706	6
Sitophilus oryzae	7048	5
Macaca nemestrina	9545	5
Stomoxys calcitrans	35570	5
Neolamprologus brichardi	32507	5
Anarrhichthys ocellatus	433405	5
Amphiprion ocellaris	80972	5
Pundamilia nyererei	303518	5
Formica exsecta	72781	5
Limulus polyphemus	6850	5
Exaiptasia diaphana	2652724	5
Agrilus planipennis	224129	5
Pogonomyrmex barbatus	144034	5
Parasteatoda tepidariorum	114398	5
Pimephales promelas	90988	5
Oryx dammah	59534	5
Paralichthys olivaceus	8255	5
Desmodus rotundus	9430	4
Stylophora pistillata	50429	4
Acromyrmex echinatior	103372	4
Mandrillus leucophaeus	9568	4
Megalopta genalis	115081	4
Delphinapterus leucas	9749	4
Talpa occidentalis	50954	4
Temnothorax curvispinosus	300111	4
Syngnathus scovelli	161590	4
Apis laboriosa	183418	4
Lipotes vexillifer	118797	4
Eptesicus fuscus	29078	4
Linepithema humile	83485	4
Anoplophora glabripennis	217634	4
Folsomia candida	158441	4
Pocillopora damicornis	46731	4
Photinus pyralis	7054	4
Simochromis diagramma	43689	4
Gekko japonicus	146911	4
Globicephala melas	9731	4
Ixodes scapularis	6945	4
Gymnodraco acuticeps	8218	4
Halichoerus grypus	9711	4
Pipistrellus kuhlii	59472	4
Haplochromis burtoni	8153	4
Trachymyrmex cornetzi	471704	4
Terrapene carolina triunguis	158814	4
Necator americanus	51031	4
Trachymyrmex zeteki	64791	4
Centruroides sculpturatus	218467	4
Callorhinchus milii	7868	4
Nylanderia fulva	613905	4
Aotus nancymaae	37293	4
Bos mutus	72004	4
Odobenus rosmarus divergens	9707	4
Odontomachus brunneus	486640	4
Propithecus coquereli	379532	4
Bison bison bison	9901	4
Pollicipes pollicipes	41117	4
Odocoileus virginianus texanus	9874	4
Colletes gigas	935657	4
Bactrocera oleae	104688	4
Colobus angolensis palliatus	54131	4
Hippocampus comes	109280	4
Orussus abietinus	222816	3
Notothenia coriiceps	8208	3
Rousettus aegyptiacus	9407	3
Leptinotarsa decemlineata	7539	3
Pseudomyrmex gracilis	219809	3
Nomia melanderi	2448451	3
Notechis scutatus	8663	3
Python bivittatus	176946	3
Phoca vitulina	9720	3
Protobothrops mucrosquamatus	103944	3
Latimeria chalumnae	7897	3
Panthera pardus	9691	3
Lagenorhynchus obliquidens	90247	3
Hylobates moloch	81572	3
Ochotona curzoniae	130825	3
Octodon degus	10160	3
Hyaena hyaena	95912	3
Otolemur garnettii	30611	3
Pseudonaja textilis	8673	3
Orycteropus afer afer	9818	3
Rhinopithecus bieti	61621	3
Phyllostomus hastatus	9423	3
Nicrophorus vespilloides	110193	3
Molossus molossus	27622	3
Neophocaena asiaeorientalis asiaeorientalis	189058	3
Meriones unguiculatus	10047	3
Megachile rotundata	143995	3
Pteropus giganteus	143291	3
Musca domestica	7370	3
Pogona vitticeps	103695	3
Puma yagouaroundi	1608482	3
Monodon monoceros	40151	3
Pantherophis guttatus	94885	3
Mirounga leonina	9715	3
Puma concolor	9696	3
Pteropus vampyrus	132908	3
Mesocricetus auratus	10036	3
Microtus fortis	100897	3
Miniopterus natalensis	291302	3
Mirounga angustirostris	9716	3
Myodes glareolus	447135	3
Marmota monax	9995	3
Marmota marmota marmota	9993	3
Marmota flaviventris	93162	3
Manis pentadactyla	143292	3
Myotis brandtii	109478	3
Phaethon lepturus	97097	3
Manis javanica	9974	3
Pelodiscus sinensis	13735	3
Myotis davidii	225400	3
Pteropus alecto	9402	3
Lynx rufus	61384	3
Loxodonta africana	9785	3
Myotis myotis	51298	3
Lontra canadensis	76717	3
Nannospalax galili	1026970	3
Nanorana parkeri	125878	3
Hipposideros armiger	186990	3
Loa loa	7209	3
Heterocephalus glaber	10181	3
Chrysochloris asiatica	185453	3
Bombyx mandarina	7092	3
Brugia malayi	6279	3
Urocitellus parryii	9999	3
Callorhinus ursinus	34884	3
Tupaia chinensis	246437	3
Camponotus floridanus	104421	3
Carlito syrichta	1868482	3
Castor canadensis	51338	3
Cavia porcellus	10141	3
Cebus imitator	2715852	3
Trichechus manatus latirostris	9778	3
Cephus cinctus	211228	3
Ceratitis capitata	7213	3
