Acanthopagrus latus
Acipenser ruthenus
Acyrthosiphon pisum
Aedes aegypti
Ailuropoda melanoleuca
Alosa sapidissima
Amblyraja radiata
Anas platyrhynchos
Anguilla anguilla
Anolis carolinensis
Anopheles albimanus
Anopheles arabiensis
Anopheles coluzzii
Anopheles gambiae str. PEST
Anopheles merus
Anopheles stephensi
Aphidius gifuensis
Apis mellifera
Aquila chrysaetos chrysaetos
Archocentrus centrarchus
Aricia agestis
Arvicanthis niloticus
Arvicola amphibius
Aythya fuligula
Bactrocera tryoni
Balaenoptera musculus
Belonocnema kinseyi
Betta splendens
Bombus pyrosoma
Bombus terrestris
Bombyx mori
Bos indicus
Bos indicus x Bos taurus
Bos taurus
Bradysia coprophila
Branchiostoma floridae
Bubalus bubalis
Bufo bufo
Bufo gargarizans
Callithrix jacchus
Calypte anna
Camarhynchus parvulus
Camelus dromedarius
Camelus ferus
Canis lupus dingo
Canis lupus familiaris
Capra hircus
Carassius auratus
Carcharodon carcharias
Catharus ustulatus
Cervus canadensis
Cervus elaphus
Chanos chanos
Cheilinus undulatus
Chelmon rostratus
Chelonia mydas
Chiloscyllium plagiosum
Chiroxiphia lanceolata
Choloepus didactylus
Chrysemys picta bellii
Chrysoperla carnea
Ciona intestinalis
Clupea harengus
Coccinella septempunctata
Coregonus clupeaformis
Corvus moneduloides
Cotesia glomerata
Cottoperca gobio
Coturnix japonica
Crassostrea gigas
Crassostrea virginica
Cricetulus griseus
Culex quinquefasciatus
Cyclopterus lumpus
Cygnus olor
Cynoglossus semilaevis
Cyprinus carpio
Danaus plexippus plexippus
Danio rerio
Daphnia magna
Dermacentor silvarum
Dermochelys coriacea
Dromiciops gliroides
Drosophila ananassae
Drosophila busckii
Drosophila mauritiana
Drosophila melanogaster
Drosophila miranda
Drosophila pseudoobscura
Drosophila santomea
Drosophila sechellia
Drosophila simulans
Drosophila subobscura
Drosophila subpulchrella
Drosophila suzukii
Drosophila teissieri
Drosophila yakuba
Electrophorus electricus
Epinephelus lanceolatus
Equus asinus
Equus caballus
Esox lucius
Etheostoma cragini
Etheostoma spectabile
Falco naumanni
Falco rusticolus
Felis catus
Ficedula albicollis
Fundulus heteroclitus
Gadus morhua
Gallus gallus
Gambusia affinis
Gasterosteus aculeatus aculeatus
Gigantopelta aegis
Gopherus evgoodei
Gorilla gorilla gorilla
Gracilinanus agilis
Hermetia illucens
Hippoglossus hippoglossus
Hippoglossus stenolepis
Homo sapiens
Ictidomys tridecemlineatus
Kryptolebias marmoratus
Lacerta agilis
Larimichthys crocea
Lepeophtheirus salmonis
Lepisosteus oculatus
Lonchura striata domestica
Lynx canadensis
Macaca fascicularis
Macaca mulatta
Manduca sexta
Mastomys coucha
Mauremys mutica
Mauremys reevesii
Maylandia zebra
Megalops cyprinoides
Melanotaenia boesemani
Meleagris gallopavo
Melopsittacus undulatus
Microcebus murinus
Microtus ochrogaster
Molothrus ater
Monodelphis domestica
Monomorium pharaonis
Motacilla alba alba
Mus caroli
Mus musculus
Mus pahari
Mustela erminea
Myripristis murdjan
Nasonia vitripennis
Nematolebias whitei
Neogale vison
Neomonachus schauinslandi
Nilaparvata lugens
Nomascus leucogenys
Nothobranchius furzeri
Notolabrus celidotus
Numida meleagris
Ochotona princeps
Octopus sinensis
Oncorhynchus keta
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus nerka
Oncorhynchus tshawytscha
Onychomys torridus
Ooceraea biroi
Oreochromis aureus
Oreochromis niloticus
Ornithorhynchus anatinus
Oryctolagus cuniculus
Oryzias latipes
Oryzias melastigma
Ovis aries
Oxyura jamaicensis
Pan troglodytes
Pangasianodon hypophthalmus
Panthera leo
Panthera tigris
Pararge aegeria
Parus major
Pecten maximus
Penaeus monodon
Perca flavescens
Perca fluviatilis
Periophthalmus magnuspinnatus
Peromyscus leucopus
Peromyscus maniculatus bairdii
Petromyzon marinus
Phocoena sinus
Phyllostomus discolor
Physeter catodon
Piliocolobus tephrosceles
Plectropomus leopardus
Podarcis muralis
Poecilia reticulata
Polyodon spathula
Polypterus senegalus
Pomacea canaliculata
Pongo abelii
Prionailurus bengalensis
Protopterus annectens
Pseudochaenichthys georgianus
Puntigrus tetrazona
Pygocentrus nattereri
Rana temporaria
Rattus norvegicus
Rattus rattus
Rhinopithecus roxellana
Rhipicephalus microplus
Rhipicephalus sanguineus
Rhopalosiphum maidis
Salarias fasciatus
Salmo salar
Salvelinus namaycush
Salvelinus sp. IW2-2015
Sander lucioperca
Sarcophilus harrisii
Sceloporus undulatus
Scleropages formosus
Scophthalmus maximus
Sebastes umbrosus
Siniperca chuatsi
Solea senegalensis
Solenopsis invicta
Sphaeramia orbicularis
Strigops habroptila
Strongyloides ratti
Suricata suricatta
Sus scrofa
Syngnathus acus
Tachyglossus aculeatus
Taeniopygia guttata
Thalassophryne amazonica
Thamnophis elegans
Theropithecus gelada
Thunnus albacares
Thunnus maccoyii
Toxotes jaculatrix
Trachemys scripta elegans
Tribolium castaneum
Trichoplusia ni
Trichosurus vulpecula
Tursiops truncatus
Venturia canescens
Vespula pensylvanica
Vulpes lagopus
Xenopus laevis
Xenopus tropicalis
Xiphias gladius
Xiphophorus couchianus
Xiphophorus hellerii
Xiphophorus maculatus
Zalophus californianus
Zerene cesonia
Zootoca vivipara
