Nematoda	Strongyloides ratti
Mollusca	Octopus sinensis
Gastropoda	Gigantopelta aegis
Gastropoda	Pomacea canaliculata
Bivalvia	Pecten maximus
Bivalvia	Crassostrea gigas
Bivalvia	Crassostrea virginica
Arthropoda	Lepeophtheirus salmonis
Arthropoda	Daphnia magna
Arthropoda	Penaeus monodon
Ixodidae	Dermacentor silvarum
Ixodidae	Rhipicephalus sanguineus
Ixodidae	Rhipicephalus microplus
Insecta	Chrysoperla carnea
Insecta	Coccinella septempunctata
Insecta	Tribolium castaneum
Insecta	Nilaparvata lugens
Insecta	Rhopalosiphum maidis
Insecta	Acyrthosiphon pisum
Insecta	Aricia agestis
Insecta	Zerene cesonia
Insecta	Manduca sexta
Insecta	Trichoplusia ni
Insecta	Bombyx mori
Insecta	Danaus plexippus plexippus
Insecta	Pararge aegeria
Insecta	Belonocnema kinseyi
Insecta	Venturia canescens
Insecta	Vespula pensylvanica
Insecta	Nasonia vitripennis
Insecta	Aphidius gifuensis
Insecta	Cotesia glomerata
Insecta	Ooceraea biroi
Insecta	Monomorium pharaonis
Insecta	Solenopsis invicta
Insecta	Apis mellifera
Insecta	Bombus pyrosoma
Insecta	Bombus terrestris
Insecta	Hermetia illucens
Insecta	Bactrocera tryoni
Insecta	Bradysia coprophila
Insecta	Culex quinquefasciatus
Insecta	Aedes aegypti
Insecta	Anopheles coluzzii
Insecta	Anopheles gambiae str. PEST
Insecta	Anopheles stephensi
Insecta	Anopheles merus
Insecta	Anopheles arabiensis
Insecta	Anopheles albimanus
Insecta	Drosophila subpulchrella
Insecta	Drosophila santomea
Insecta	Drosophila busckii
Insecta	Drosophila suzukii
Insecta	Drosophila yakuba
Insecta	Drosophila teissieri
Insecta	Drosophila subobscura
Insecta	Drosophila simulans
Insecta	Drosophila sechellia
Insecta	Drosophila pseudoobscura
Insecta	Drosophila miranda
Insecta	Drosophila melanogaster
Insecta	Drosophila mauritiana
Insecta	Drosophila ananassae
Chordata	Polypterus senegalus
Chordata	Protopterus annectens
Chordata	Petromyzon marinus
Leptocardii	Branchiostoma floridae
Chordata	Ciona intestinalis
Chondrichthyes	Amblyraja radiata
Chondrichthyes	Chiloscyllium plagiosum
Chondrichthyes	Carcharodon carcharias
Anura	Rana temporaria
Anura	Bufo gargarizans
Anura	Bufo bufo
Anura	Xenopus tropicalis
Anura	Xenopus laevis
Squamata	Thamnophis elegans
Squamata	Anolis carolinensis
Squamata	Sceloporus undulatus
Squamata	Lacerta agilis
Squamata	Podarcis muralis
Squamata	Zootoca vivipara
Testudines	Gopherus evgoodei
Testudines	Dermochelys coriacea
Testudines	Chelonia mydas
Testudines	Mauremys reevesii
Testudines	Mauremys mutica
Testudines	Trachemys scripta elegans
Testudines	Chrysemys picta bellii
Aves	Aquila chrysaetos chrysaetos
Aves	Calypte anna
Aves	Falco naumanni
Aves	Falco rusticolus
Aves	Strigops habroptila
Aves	Melopsittacus undulatus
Aves	Numida meleagris
Aves	Coturnix japonica
Aves	Meleagris gallopavo
Aves	Gallus gallus
Aves	Aythya fuligula
Aves	Oxyura jamaicensis
Aves	Cygnus olor
Aves	Anas platyrhynchos
Aves	Corvus moneduloides
Aves	Motacilla alba alba
Aves	Chiroxiphia lanceolata
Aves	Catharus ustulatus
Aves	Camarhynchus parvulus
Aves	Molothrus ater
Aves	Ficedula albicollis
Aves	Parus major
Aves	Lonchura striata domestica
Aves	Taeniopygia guttata
Mammalia	Phyllostomus discolor
Mammalia	Dromiciops gliroides
Mammalia	Choloepus didactylus
Mammalia	Trichosurus vulpecula
Mammalia	Sarcophilus harrisii
Mammalia	Gracilinanus agilis
Mammalia	Monodelphis domestica
Mammalia	Oryctolagus cuniculus
Mammalia	Ochotona princeps
Mammalia	Equus caballus
Mammalia	Equus asinus
Mammalia	Tachyglossus aculeatus
Mammalia	Ornithorhynchus anatinus
Mammalia	Nomascus leucogenys
Mammalia	Microcebus murinus
Mammalia	Callithrix jacchus
Mammalia	Homo sapiens
Mammalia	Pongo abelii
Mammalia	Pan troglodytes
Mammalia	Gorilla gorilla gorilla
Mammalia	Piliocolobus tephrosceles
Mammalia	Rhinopithecus roxellana
Mammalia	Theropithecus gelada
Mammalia	Macaca mulatta
Mammalia	Macaca fascicularis
Mammalia	Ictidomys tridecemlineatus
Mammalia	Arvicola amphibius
Mammalia	Microtus ochrogaster
Mammalia	Onychomys torridus
Mammalia	Cricetulus griseus
Mammalia	Peromyscus maniculatus bairdii
Mammalia	Peromyscus leucopus
Mammalia	Arvicanthis niloticus
Mammalia	Mastomys coucha
Mammalia	Rattus rattus
Mammalia	Rattus norvegicus
Mammalia	Mus pahari
Mammalia	Mus musculus
Mammalia	Mus caroli
Mammalia	Suricata suricatta
Mammalia	Neomonachus schauinslandi
Mammalia	Zalophus californianus
Mammalia	Ailuropoda melanoleuca
Mammalia	Neogale vison
Mammalia	Mustela erminea
Mammalia	Vulpes lagopus
Mammalia	Canis lupus dingo
Mammalia	Canis lupus familiaris
Mammalia	Lynx canadensis
Mammalia	Prionailurus bengalensis
Mammalia	Felis catus
Mammalia	Panthera tigris
Mammalia	Panthera leo
Mammalia	Phocoena sinus
Mammalia	Sus scrofa
Mammalia	Balaenoptera musculus
Mammalia	Physeter catodon
Mammalia	Tursiops truncatus
Mammalia	Cervus canadensis
Mammalia	Cervus elaphus
Mammalia	Camelus ferus
Mammalia	Camelus dromedarius
Mammalia	Bubalus bubalis
Mammalia	Ovis aries
Mammalia	Capra hircus
Mammalia	Bos indicus x Bos taurus
Mammalia	Bos indicus
Mammalia	Bos taurus
Actinopteri	Melanotaenia boesemani
Actinopteri	Toxotes jaculatrix
Actinopteri	Myripristis murdjan
Actinopteri	Periophthalmus magnuspinnatus
Actinopteri	Thalassophryne amazonica
Actinopteri	Sphaeramia orbicularis
Actinopteri	Pangasianodon hypophthalmus
Actinopteri	Larimichthys crocea
Actinopteri	Salarias fasciatus
Actinopteri	Syngnathus acus
Actinopteri	Betta splendens
Actinopteri	Siniperca chuatsi
Actinopteri	Megalops cyprinoides
Actinopteri	Scleropages formosus
Actinopteri	Chelmon rostratus
Actinopteri	Pygocentrus nattereri
Actinopteri	Chanos chanos
Actinopteri	Xiphias gladius
Actinopteri	Acanthopagrus latus
Actinopteri	Gadus morhua
Actinopteri	Esox lucius
Actinopteri	Electrophorus electricus
Actinopteri	Anguilla anguilla
Actinopteri	Lepisosteus oculatus
Actinopteri	Notolabrus celidotus
Actinopteri	Cheilinus undulatus
Actinopteri	Thunnus maccoyii
Actinopteri	Thunnus albacares
Actinopteri	Oryzias melastigma
Actinopteri	Oryzias latipes
Actinopteri	Alosa sapidissima
Actinopteri	Clupea harengus
Actinopteri	Polyodon spathula
Actinopteri	Acipenser ruthenus
Actinopteri	Maylandia zebra
Actinopteri	Archocentrus centrarchus
Actinopteri	Oreochromis aureus
Actinopteri	Oreochromis niloticus
Actinopteri	Danio rerio
Actinopteri	Puntigrus tetrazona
Actinopteri	Cyprinus carpio
Actinopteri	Carassius auratus
Actinopteri	Cynoglossus semilaevis
Actinopteri	Scophthalmus maximus
Actinopteri	Solea senegalensis
Actinopteri	Hippoglossus stenolepis
Actinopteri	Hippoglossus hippoglossus
Actinopteri	Nothobranchius furzeri
Actinopteri	Fundulus heteroclitus
Actinopteri	Nematolebias whitei
Actinopteri	Kryptolebias marmoratus
Actinopteri	Gambusia affinis
Actinopteri	Poecilia reticulata
Actinopteri	Xiphophorus couchianus
Actinopteri	Xiphophorus hellerii
Actinopteri	Xiphophorus maculatus
Actinopteri	Coregonus clupeaformis
Actinopteri	Salmo salar
Actinopteri	Salvelinus sp. IW2-2015
Actinopteri	Salvelinus namaycush
Actinopteri	Oncorhynchus tshawytscha
Actinopteri	Oncorhynchus nerka
Actinopteri	Oncorhynchus mykiss
Actinopteri	Oncorhynchus kisutch
Actinopteri	Oncorhynchus keta
Actinopteri	Gasterosteus aculeatus aculeatus
Actinopteri	Sebastes umbrosus
Actinopteri	Cottoperca gobio
Actinopteri	Pseudochaenichthys georgianus
Actinopteri	Cyclopterus lumpus
Actinopteri	Epinephelus lanceolatus
Actinopteri	Plectropomus leopardus
Actinopteri	Sander lucioperca
Actinopteri	Etheostoma cragini
Actinopteri	Etheostoma spectabile
Actinopteri	Perca fluviatilis
Actinopteri	Perca flavescens
