Acanthopagrus latus
Accipiter gentilis
Acipenser ruthenus
Acropora millepora
Acyrthosiphon pisum
Aedes aegypti
Aethina tumida
Ailuropoda melanoleuca
Alosa alosa
Alosa sapidissima
Amblyraja radiata
Anabas testudineus
Anas platyrhynchos
Anguilla anguilla
Anolis carolinensis
Anopheles albimanus
Anopheles aquasalis
Anopheles arabiensis
Anopheles coluzzii
Anopheles darlingi
Anopheles funestus
Anopheles gambiae str. PEST
Anopheles maculipalpis
Anopheles merus
Anopheles stephensi
Anthonomus grandis grandis
Aphidius gifuensis
Aphis gossypii
Apis mellifera
Aquila chrysaetos chrysaetos
Archocentrus centrarchus
Aricia agestis
Arvicanthis niloticus
Arvicola amphibius
Astatotilapia calliptera
Astyanax mexicanus
Athalia rosae
Aythya fuligula
Bactrocera dorsalis
Bactrocera neohumeralis
Bactrocera tryoni
Balaenoptera musculus
Belonocnema kinseyi
Betta splendens
Bombus huntii
Bombus pyrosoma
Bombus terrestris
Bombyx mori
Bos indicus
Bos indicus x Bos taurus
Bos taurus
Bradysia coprophila
Branchiostoma floridae
Brienomyrus brachyistius
Bubalus bubalis
Bufo bufo
Bufo gargarizans
Caenorhabditis briggsae
Callithrix jacchus
Calypte anna
Camarhynchus parvulus
Camelus dromedarius
Camelus ferus
Canis lupus dingo
Canis lupus familiaris
Capra hircus
Carassius auratus
Carcharodon carcharias
Caretta caretta
Cataglyphis hispanica
Catharus ustulatus
Cervus canadensis
Cervus elaphus
Chanos chanos
Cheilinus undulatus
Chelmon rostratus
Chelonia mydas
Chiloscyllium plagiosum
Chiroxiphia lanceolata
Choloepus didactylus
Chrysemys picta bellii
Chrysoperla carnea
Ciona intestinalis
Clupea harengus
Coccinella septempunctata
Colias croceus
Coregonus clupeaformis
Corvus cornix cornix
Corvus hawaiiensis
Corvus moneduloides
Cotesia glomerata
Cottoperca gobio
Coturnix japonica
Crassostrea gigas
Crassostrea virginica
Cricetulus griseus
Culex pipiens pallens
Culex quinquefasciatus
Cyclopterus lumpus
Cygnus atratus
Cygnus olor
Cynoglossus semilaevis
Cyprinus carpio
Danaus plexippus plexippus
Danio rerio
Daphnia magna
Daphnia pulex
Daphnia pulicaria
Denticeps clupeoides
Dermacentor silvarum
Dermochelys coriacea
Diabrotica virgifera virgifera
Diprion similis
Dromiciops gliroides
Drosophila albomicans
Drosophila ananassae
Drosophila busckii
Drosophila innubila
Drosophila mauritiana
Drosophila melanogaster
Drosophila miranda
Drosophila pseudoobscura
Drosophila santomea
Drosophila sechellia
Drosophila simulans
Drosophila subobscura
Drosophila subpulchrella
Drosophila suzukii
Drosophila teissieri
Drosophila willistoni
Drosophila yakuba
Echeneis naucrates
Electrophorus electricus
Elephas maximus indicus
Epinephelus fuscoguttatus
Epinephelus lanceolatus
Epinephelus moara
Equus asinus
Equus caballus
Equus quagga
Erpetoichthys calabaricus
Esox lucius
Etheostoma cragini
Etheostoma spectabile
Falco naumanni
Falco rusticolus
Felis catus
Ficedula albicollis
Fundulus heteroclitus
Gadus morhua
Gallus gallus
Gambusia affinis
Gasterosteus aculeatus aculeatus
Geotrypetes seraphini
Gigantopelta aegis
Girardinichthys multiradiatus
Gopherus evgoodei
Gorilla gorilla gorilla
Gouania willdenowi
Gracilinanus agilis
Harmonia axyridis
Helicoverpa armigera
Helicoverpa zea
Hermetia illucens
Hippoglossus hippoglossus
Hippoglossus stenolepis
Hirundo rustica
Homalodisca vitripennis
Homo sapiens
Hydra vulgaris
Hypomesus transpacificus
Ictalurus punctatus
Ictidomys tridecemlineatus
Ischnura elegans
Jaculus jaculus
Kryptolebias marmoratus
Lacerta agilis
Lagopus muta
Larimichthys crocea
Lates calcarifer
Leguminivora glycinivorella
Lemur catta
Leopardus geoffroyi
Lepeophtheirus salmonis
Lepisosteus oculatus
Lonchura striata domestica
Lucilia cuprina
Lutra lutra
Lynx canadensis
Macaca fascicularis
Macaca mulatta
Manduca sexta
Maniola hyperantus
Maniola jurtina
Mastacembelus armatus
Mastomys coucha
Mauremys mutica
Mauremys reevesii
Maylandia zebra
Megalobrama amblycephala
Megalops cyprinoides
Melanotaenia boesemani
Meleagris gallopavo
Meles meles
Melitaea cinxia
Melopsittacus undulatus
Microcaecilia unicolor
Microcebus murinus
Micropterus dolomieu
Microtus ochrogaster
Molothrus ater
Monodelphis domestica
Monomorium pharaonis
Motacilla alba alba
Mugil cephalus
Mus caroli
Mus musculus
Mus pahari
Mustela erminea
Myripristis murdjan
Nasonia vitripennis
Nematolebias whitei
Nematostella vectensis
Neodiprion fabricii
Neodiprion lecontei
Neodiprion pinetum
Neodiprion virginianus
Neogale vison
Neomonachus schauinslandi
Neosciurus carolinensis
Nilaparvata lugens
Nomascus leucogenys
Nothobranchius furzeri
Notolabrus celidotus
Numida meleagris
Nymphalis io
Ochotona princeps
Octopus bimaculoides
Octopus sinensis
Oncorhynchus gorbuscha
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus nerka
Oncorhynchus tshawytscha
Onychomys torridus
Ooceraea biroi
Orcinus orca
Oreochromis aureus
Oreochromis niloticus
Ornithorhynchus anatinus
Oryzias latipes
Oryzias melastigma
Osmia bicornis bicornis
Ovis aries
Oxyura jamaicensis
Pan paniscus
Pan troglodytes
Panthera leo
Panthera tigris
Panthera uncia
Papilio machaon
Papio anubis
Parambassis ranga
Pararge aegeria
Parus major
Patella vulgata
Pecten maximus
Pectinophora gossypiella
Penaeus chinensis
Penaeus monodon
Perca flavescens
Perca fluviatilis
Periophthalmus magnuspinnatus
Perognathus longimembris pacificus
Peromyscus leucopus
Peromyscus maniculatus bairdii
Petromyzon marinus
Phacochoerus africanus
Phocoena sinus
Phyllostomus discolor
Pieris brassicae
Pieris napi
Pieris rapae
Piliocolobus tephrosceles
Plectropomus leopardus
Plutella xylostella
Podarcis muralis
Poecilia reticulata
Polyodon spathula
Polypterus senegalus
Pomacea canaliculata
