Crassostrea virginica	6565	28
Crassostrea gigas	29159	26
Branchiostoma floridae	7739	22
Gigantopelta aegis	1735272	22
Salmo trutta	8032	18
Acipenser ruthenus	7906	17
Octopus sinensis	2607531	15
Pecten maximus	6579	14
Petromyzon marinus	7757	14
Carassius auratus	7957	14
Patella vulgata	6465	13
Salmo salar	8030	13
Octopus bimaculoides	37653	12
Pomacea canaliculata	400727	12
Esox lucius	8010	11
Anguilla anguilla	7936	10
Chanos chanos	29144	10
Coregonus clupeaformis	59861	10
Solea senegalensis	28829	9
Polyodon spathula	7913	9
Etheostoma spectabile	54343	9
Micropterus dolomieu	147949	9
Sander lucioperca	283035	9
Cyprinus carpio	7962	9
Brienomyrus brachyistius	42636	9
Kryptolebias marmoratus	37003	9
Oncorhynchus kisutch	8019	9
Salvelinus namaycush	8040	9
Oncorhynchus mykiss	8022	8
Oncorhynchus tshawytscha	74940	8
Ictalurus punctatus	7998	8
Fundulus heteroclitus	8078	8
Gasterosteus aculeatus aculeatus	69293	8
Tachysurus fulvidraco	1234273	8
Oncorhynchus gorbuscha	8017	8
Megalops cyprinoides	118141	8
Melanotaenia boesemani	1250792	8
Erpetoichthys calabaricus	27687	8
Anabas testudineus	64144	8
Gambusia affinis	33528	7
Etheostoma cragini	417921	7
Girardinichthys multiradiatus	208333	7
Salvelinus sp. IW2-2015	2691554	7
Epinephelus lanceolatus	310571	7
Oreochromis niloticus	8128	7
Acanthopagrus latus	8177	7
Silurus meridionalis	175797	7
Archocentrus centrarchus	63155	7
Xiphophorus maculatus	8083	7
Xiphophorus hellerii	8084	7
Alosa sapidissima	34773	7
Mastacembelus armatus	205130	7
Thunnus maccoyii	8240	7
Betta splendens	158456	7
Lates calcarifer	8187	7
Thunnus albacares	8236	7
Hypomesus transpacificus	137520	7
Oreochromis aureus	47969	7
Sparus aurata	8175	7
Poecilia reticulata	8081	6
Perca fluviatilis	8168	6
Clupea harengus	7950	6
Salarias fasciatus	181472	6
Polypterus senegalus	55291	6
Cottoperca gobio	56716	6
Cheilinus undulatus	241271	6
Protopterus annectens	7888	6
Periophthalmus magnuspinnatus	409849	6
Perca flavescens	8167	6
Plectropomus leopardus	160734	6
Gouania willdenowi	441366	6
Astyanax mexicanus	7994	6
Hippoglossus stenolepis	195615	6
Xiphophorus couchianus	32473	6
Xiphias gladius	8245	6
Amblyraja radiata	386614	6
Xenopus tropicalis	8364	6
Megalobrama amblycephala	75352	6
Notolabrus celidotus	1203425	6
Larimichthys crocea	215358	6
Oncorhynchus nerka	8023	6
Epinephelus fuscoguttatus	293821	6
Puntigrus tetrazona	1606681	6
Hippoglossus hippoglossus	8267	6
Siniperca chuatsi	119488	6
Sebastes umbrosus	72105	6
Scophthalmus maximus	52904	6
Cyclopterus lumpus	8103	6
Epinephelus moara	300413	6
Oryzias melastigma	30732	5
Nematolebias whitei	451745	5
Dermochelys coriacea	27794	5
Ovis aries	9940	5
Gadus morhua	8049	5
Myripristis murdjan	586833	5
Parambassis ranga	210632	5
Cynoglossus semilaevis	244447	5
Echeneis naucrates	173247	5
Mugil cephalus	48193	5
Scatophagus argus	75038	5
Cervus canadensis	1574408	5
Scyliorhinus canicula	7830	5
Thalassophryne amazonica	390379	5
Thamnophis elegans	35005	5
Toxotes jaculatrix	941984	5
Chelonia mydas	8469	5
Cervus elaphus	9860	5
Sphaeramia orbicularis	375764	5
Bubalus bubalis	89462	5
Scleropages formosus	113540	5
Alosa alosa	278164	5
Sphaerodactylus townsendi	933632	4
Geotrypetes seraphini	260995	4
Bos taurus	9913	4
