'Microplitis demolitor',
'Serinus canaria',
'Hemicordylus capensis',
'Anopheles cruzii',
'Pristis pectinata',
'Myxocyprinus asiaticus',
'Labeo rohita',
'Gopherus flavomarginatus',
'Antechinus flavipes',
'Anopheles moucheti',
'Pleuronectes platessa',
'Carassius gibelio',
'Anopheles marshallii',
'Scomber japonicus',
'Oryctolagus cuniculus',
'Eriocheir sinensis',
'Harpia harpyja',
'Mya arenaria',
'Pangasianodon hypophthalmus',
'Acomys russatus',
'Vespula vulgaris',
'Oncorhynchus keta',
'Podarcis raffonei',
'Spea bombifrons',
'Neovison vison',
'Leptidea sinapis',
'Caenorhabditis remanei',
'Nycticebus coucang',
'Acanthochromis polyacanthus',
'Hippocampus zosterae',
'Bombina bombina',
'Ctenopharyngodon idella',
'Crassostrea angulata',
'Bicyclus anynana',
'Budorcas taxicolor',
'Plodia interpunctella',
'Mercenaria mercenaria',
'Apodemus sylvaticus',
'Dreissena polymorpha',
'Gymnogyps californianus',
'Cherax quadricarinatus',
'Acinonyx jubatus',
'Apus apus',
'Xyrauchen texanus',
'Anopheles nili',
'Ictalurus furcatus',
'Macaca thibetana thibetana',
'Sciurus carolinensis',
'Clarias gariepinus',
'Neodiprion virginiana',
'Bombus affinis',
'Salvelinus alpinus',
'Drosophila biarmipes',
'Drosophila gunungcola'
