'Pristis pectinata'
 'Cherax quadricarinatus'
 'Bombina bombina'
 'Bicyclus anynana'
 'Pleuronectes platessa'
 'Harpia harpyja'
 'Acanthochromis polyacanthus'
 'Labeo rohita'
 'Anopheles marshallii'
 'Gopherus flavomarginatus'
 'Caenorhabditis remanei'
 'Neovison vison'
 'Vespula vulgaris'
 'Clarias gariepinus'
 'Acomys russatus'
 'Neodiprion virginiana'
 'Nycticebus coucang'
 'Crassostrea angulata'
 'Microplitis demolitor'
 'Acinonyx jubatus'
 'Pangasianodon hypophthalmus'
 'Macaca thibetana thibetana'
 'Leptidea sinapis'
 'Apus apus'
 'Carassius gibelio'
 'Oncorhynchus keta'
 'Myxocyprinus asiaticus'
 'Salvelinus alpinus'
 'Sciurus carolinensis'
 'Podarcis raffonei'
 'Anopheles nili'
 'Oryctolagus cuniculus'
 'Ctenopharyngodon idella'
 'Plodia interpunctella'
 'Mercenaria mercenaria'
 'Mya arenaria'
 'Anopheles moucheti'
 'Drosophila gunungcola'
 'Gymnogyps californianus'
 'Ictalurus furcatus'
 'Spea bombifrons'
 'Anopheles cruzii'
 'Scomber japonicus'
 'Budorcas taxicolor'
 'Apodemus sylvaticus'
 'Hemicordylus capensis'
 'Hippocampus zosterae'
 'Antechinus flavipes'
 'Eriocheir sinensis'
 'Xyrauchen texanus'
 'Dreissena polymorpha'
 'Bombus affinis'
 'Drosophila biarmipes'
 'Serinus canaria'
