COD	Clade
dmeC1	Insecta
dmeN2	Insecta
hsaH4	Mammalia
hsaH5	Mammalia
hsaH6	Mammalia
mmuH1	Mammalia
mmuH2	Mammalia
mmuH3	Mammalia
dreN1	Actinopteri
dreH2	Actinopteri
dreH3	Actinopteri
dreH4	Actinopteri
cluH3	Mammalia
mdoH1	Mammalia
mdoH2	Mammalia
mdoH3	Mammalia
tcaC1	Insecta
tcaC2	Insecta
sscH1	Mammalia
sscH2	Mammalia
sscH4	Mammalia
bflC1	Leptocardii
bflN2	Leptocardii
bflH3	Leptocardii
bflC4	Leptocardii
bflC5	Leptocardii
bflN7	Leptocardii
bflC8	Leptocardii
bflN9	Leptocardii
bflN10	Leptocardii
bflN11	Leptocardii
bflN12	Leptocardii
bflN13	Leptocardii
bflN14	Leptocardii
bflN15	Leptocardii
bflN16	Leptocardii
bflC17	Leptocardii
bflH18	Leptocardii
bflH19	Leptocardii
bflH20	Leptocardii
bflH21	Leptocardii
bflN22	Leptocardii
xtrH1	Amphibia
xtrH2	Amphibia
xtrH3	Amphibia
xtrH4	Amphibia
xtrC5	Amphibia
xtrH6	Amphibia
cbrN1	Chromadorea
cbrN3	Chromadorea
acaH1	Lepidosauria
acaH2	Lepidosauria
acaH3	Lepidosauria
mgaH1	Aves
mgaH2	Aves
mmurH2	Mammalia
mmurH3	Mammalia
cinC1	Ascidiacea
mzeH1	Actinopteri
mzeH2	Actinopteri
mzeH3	Actinopteri
mzeC4	Actinopteri
cpiH1	Testudines
cpiH2	Testudines
cpiH3	Testudines
locH1	Actinopteri
locH2	Actinopteri
locN3	Actinopteri
locN4	Actinopteri
binH1	Mammalia
binH3	Mammalia
falH2	Aves
mocH2	Mammalia
cseH1	Actinopteri
cseH2	Actinopteri
cseH3	Actinopteri
cseC5	Actinopteri
preH1	Actinopteri
preN2	Actinopteri
preH4	Actinopteri
preH5	Actinopteri
preN6	Actinopteri
cdrH1	Mammalia
cdrH3	Mammalia
lcrH1	Actinopteri
lcrC2	Actinopteri
lcrH3	Actinopteri
lcrH4	Actinopteri
lcrH5	Actinopteri
lcrC6	Actinopteri
sraC1	Chromadorea
sraC2	Chromadorea
obiC1	Cephalopoda
obiC2	Cephalopoda
obiN3	Cephalopoda
obiC4	Cephalopoda
obiC6	Cephalopoda
obiC7	Cephalopoda
obiN9	Cephalopoda
obiN10	Cephalopoda
obiC11	Cephalopoda
obiN12	Cephalopoda
xcoH1	Actinopteri
xcoC2	Actinopteri
xcoH3	Actinopteri
xcoH4	Actinopteri
xcoC5	Actinopteri
xcoC6	Actinopteri
nfuH1	Actinopteri
nfuH2	Actinopteri
nfuN3	Actinopteri
nfuH4	Actinopteri
pmaH2	Aves
cjaH2	Aves
lcaC1	Actinopteri
lcaH2	Actinopteri
lcaH3	Actinopteri
lcaH4	Actinopteri
lcaC5	Actinopteri
lcaC6	Actinopteri
lcaC7	Actinopteri
kmaH2	Actinopteri
kmaC4	Actinopteri
kmaH5	Actinopteri
kmaH6	Actinopteri
kmaN7	Actinopteri
kmaC8	Actinopteri
kmaC9	Actinopteri
ipuC1	Actinopteri
ipuC2	Actinopteri
ipuC3	Actinopteri
ipuH4	Actinopteri
ipuH5	Actinopteri
ipuH6	Actinopteri
ipuH7	Actinopteri
ipuC8	Actinopteri
chiH2	Mammalia
chiH4	Mammalia
oniH1	Actinopteri
oniH2	Actinopteri
oniH3	Actinopteri
oniC4	Actinopteri
oniC5	Actinopteri
oniC6	Actinopteri
oniC7	Actinopteri
ameH3	Mammalia
okiH1	Actinopteri
okiH2	Actinopteri
okiC3	Actinopteri
okiC4	Actinopteri
okiH5	Actinopteri
okiC6	Actinopteri
okiH7	Actinopteri
okiH8	Actinopteri
okiH9	Actinopteri
cviN1	Bivalvia
cviN2	Bivalvia
cviN3	Bivalvia
cviN4	Bivalvia
cviN5	Bivalvia
cviN6	Bivalvia
cviN7	Bivalvia
cviN8	Bivalvia
cviN9	Bivalvia
cviN11	Bivalvia
cviN12	Bivalvia
cviN13	Bivalvia
cviN14	Bivalvia
cviC15	Bivalvia
cviN16	Bivalvia
cviC17	Bivalvia
cviN18	Bivalvia
cviN19	Bivalvia
cviN20	Bivalvia
cviN26	Bivalvia
cviC27	Bivalvia
cviC28	Bivalvia
nmeH2	Aves
nscH1	Mammalia
nscH3	Mammalia
aaeN1	Insecta
aaeN3	Insecta
olaH1	Actinopteri
olaH2	Actinopteri
olaN3	Actinopteri
olaH4	Actinopteri
tdaC2	Insecta
tdaC4	Insecta
btaH1	Mammalia
btaH2	Mammalia
btaH4	Mammalia
sliN1	Insecta
sliN2	Insecta
xmaH1	Actinopteri
xmaH2	Actinopteri
xmaH3	Actinopteri
xmaN4	Actinopteri
xmaN5	Actinopteri
xmaN6	Actinopteri
xmaN7	Actinopteri
ecaH1	Mammalia
ecaH2	Mammalia
ecaH3	Mammalia
ptrH1	Mammalia
ptrH2	Mammalia
pabH2	Mammalia
salH1	Actinopteri
salH2	Actinopteri
salH3	Actinopteri
salH4	Actinopteri
salN5	Actinopteri
salN6	Actinopteri
salH7	Actinopteri
omeH1	Actinopteri
omeH2	Actinopteri
omeC3	Actinopteri
omeC4	Actinopteri
omeH5	Actinopteri
pcaC1	Gastropoda
pcaC2	Gastropoda
pcaC3	Gastropoda
pcaN4	Gastropoda
pcaN5	Gastropoda
pcaC6	Gastropoda
pcaN7	Gastropoda
pcaN8	Gastropoda
pcaN9	Gastropoda
pcaC11	Gastropoda
pcaC12	Gastropoda
amelC1	Insecta
amelC2	Insecta
clupH2	Mammalia
tgeH1	Mammalia
xheH1	Actinopteri
xheH2	Actinopteri
xheC3	Actinopteri
xheC4	Actinopteri
xheC6	Actinopteri
xheC7	Actinopteri
mmulH1	Mammalia
mmulH2	Mammalia
cauC1	Actinopteri
cauH2	Actinopteri
cauC3	Actinopteri
cauC5	Actinopteri
cauH6	Actinopteri
cauC7	Actinopteri
cauC8	Actinopteri
cauH9	Actinopteri
cauH10	Actinopteri
cauC11	Actinopteri
cauH12	Actinopteri
cauH13	Actinopteri
cauH14	Actinopteri
bindH3	Mammalia
dmiC1	Insecta
dmiC2	Insecta
tniC1	Insecta
tniC2	Insecta
cgrH1	Mammalia
cgrH3	Mammalia
obirC1	Insecta
obirC3	Insecta
rmaC1	Insecta
pmanH1	Mammalia
pmanH3	Mammalia
canH2	Aves
tguH1	Aves
cplH1	Chondrichthyes
cplH2	Chondrichthyes
cplC3	Chondrichthyes
cplH4	Chondrichthyes
oanH1	Mammalia
oanH2	Mammalia
oanH3	Mammalia
rfeH1	Mammalia
rfeH2	Mammalia
rfeH3	Mammalia
pdiH1	Mammalia
pdiH2	Mammalia
pdiH3	Mammalia
pmuH1	Lepidosauria
pmuH2	Lepidosauria
pmuH3	Lepidosauria
dinC2	Insecta
dinC3	Insecta
pflH1	Actinopteri
pflH2	Actinopteri
pflC3	Actinopteri
pflH4	Actinopteri
pflC5	Actinopteri
pflC6	Actinopteri
dseC1	Insecta
pleH2	Mammalia
elaC1	Actinopteri
elaH2	Actinopteri
elaC3	Actinopteri
elaC5	Actinopteri
elaH6	Actinopteri
elaH7	Actinopteri
apiC1	Insecta
lstH1	Aves
oneH1	Actinopteri
oneC3	Actinopteri
ssuH2	Mammalia
osiC1	Cephalopoda
osiC2	Cephalopoda
osiC3	Cephalopoda
osiC4	Cephalopoda
osiC5	Cephalopoda
osiN6	Cephalopoda
osiN7	Cephalopoda
osiC11	Cephalopoda
osiN12	Cephalopoda
osiN13	Cephalopoda
osiC14	Cephalopoda
osiC15	Cephalopoda
emoC1	Actinopteri
emoC2	Actinopteri
emoH3	Actinopteri
emoC5	Actinopteri
aceC1	Actinopteri
aceH2	Actinopteri
aceH3	Actinopteri
aceC4	Actinopteri
aceC5	Actinopteri
aceH7	Actinopteri
gevH1	Testudines
gevH3	Testudines
lcanH2	Mammalia
dsuC1	Insecta
ggoH2	Mammalia
sluH1	Actinopteri
sluC2	Actinopteri
sluC4	Actinopteri
sluC5	Actinopteri
sluH6	Actinopteri
sluC7	Actinopteri
sluH9	Actinopteri
psiH2	Mammalia
psiH3	Mammalia
espC2	Actinopteri
espC4	Actinopteri
espC5	Actinopteri
espH6	Actinopteri
espH7	Actinopteri
espC8	Actinopteri
espH9	Actinopteri
panH3	Mammalia
panH4	Mammalia
pleoC1	Actinopteri
pleoH3	Actinopteri
pleoH4	Actinopteri
pleoC5	Actinopteri
pleoC6	Actinopteri
nviC2	Insecta
nviC3	Insecta
dalC2	Insecta
dalC4	Insecta
cjacH3	Mammalia
dplC1	Insecta
dplC2	Insecta
zcaH2	Mammalia
nceC1	Actinopteri
nceH2	Actinopteri
nceH3	Actinopteri
nceH4	Actinopteri
nceC5	Actinopteri
nceC6	Actinopteri
ppeC1	Chondrichthyes
ppeH2	Chondrichthyes
ppeH3	Chondrichthyes
ppeH4	Chondrichthyes
dcoH1	Testudines
dcoH2	Testudines
dcoH3	Testudines
dcoH4	Testudines
dcoH5	Testudines
telH1	Lepidosauria
telH2	Lepidosauria
telH3	Lepidosauria
telH4	Lepidosauria
telH5	Lepidosauria
clumH1	Actinopteri
clumH2	Actinopteri
