Acanthisitta chloris
Acromyrmex echinatior
Acropora digitifera
Actinia tenebrosa
Adelges cooleyi
Aedes albopictus
Agrilus planipennis
Alligator mississippiensis
Alligator sinensis
Amphimedon queenslandica
Amphiprion ocellaris
Amyelois transitella
Anarrhichthys ocellatus
Anneissia japonica
Anoplophora glabripennis
Anser cygnoides
Antrostomus carolinensis
Aotus nancymaae
Apaloderma vittatum
Apis cerana
Apis dorsata
Apis florea
Apis laboriosa
Aplysia californica
Aptenodytes forsteri
Apteryx rowi
Athene cunicularia
Atta cephalotes
Atta colombica
Austrofundulus limnaeus
Bactrocera latifrons
Bactrocera oleae
Balaenoptera acutorostrata scammoni
Balearica regulorum gibbericeps
Bemisia tabaci
Bison bison bison
Boleophthalmus pectinirostris
Bombus bifarius
Bombus impatiens
Bombus vancouverensis nearcticus
Bombus vosnesenskii
Bombyx mandarina
Bos mutus
Branchiostoma belcheri
Brugia malayi
Buceros rhinoceros silvestris
Calidris pugnax
Callorhinchus milii
Callorhinus ursinus
Camelus bactrianus
Camponotus floridanus
Cariama cristata
Carlito syrichta
Castor canadensis
Cavia porcellus
Cebus imitator
Centrocercus urophasianus
Centruroides sculpturatus
Cephus cinctus
Ceratina calcarata
Ceratitis capitata
Ceratosolen solmsi marchali
Ceratotherium simum simum
Cercocebus atys
Chaetura pelagica
Charadrius vociferus
Chelonoidis abingdonii
Chelonus insularis
Chinchilla lanigera
Chlamydotis macqueenii
Chlorocebus sabaeus
Chrysochloris asiatica
Cimex lectularius
Colius striatus
Colletes gigas
Colobus angolensis palliatus
Colossoma macropomum
Columba livia
Condylura cristata
Contarinia nasturtii
Copidosoma floridanum
Corapipo altera
Corvus brachyrhynchos
Corvus kubaryi
Cricetulus griseus
Crocodylus porosus
Cryptotermes secundus
Ctenocephalides felis
Cuculus canorus
Cyanistes caeruleus
Cyphomyrmex costatus
Cyprinodon variegatus
Daktulosphaira vitifoliae
Dasypus novemcinctus
Delphinapterus leucas
Dendroctonus ponderosae
Dermacentor andersoni
Dermatophagoides pteronyssinus
Desmodus rotundus
Diachasma alloeum
Diaphorina citri
Dinoponera quadriceps
Dipodomys ordii
Diuraphis noxia
Dromaius novaehollandiae
Drosophila arizonae
Drosophila guanche
Drosophila navojoa
Dryobates pubescens
Dufourea novaeangliae
Echinops telfairi
Egretta garzetta
Elephantulus edwardii
Empidonax traillii
Enhydra lutris kenyoni
Eptesicus fuscus
Equus przewalskii
Erinaceus europaeus
Eufriesea mexicana
Eumetopias jubatus
Eurypyga helias
Eurytemora affinis
Exaiptasia diaphana
Falco cherrug
Falco peregrinus
Folsomia candida
Fopius arisanus
Formica exsecta
Frankliniella occidentalis
Frieseomelitta varia
Fukomys damarensis
Fulmarus glacialis
Galendromus occidentalis
Galeopterus variegatus
Gavia stellata
Gavialis gangeticus
Gekko japonicus
Geospiza fortis
Globicephala melas
Glossina fuscipes
Grammomys surdaster
Gymnodraco acuticeps
Habropoda laboriosa
Haliaeetus albicilla
Haliaeetus leucocephalus
Halichoerus grypus
Haliotis rubra
Haliotis rufescens
Halyomorpha halys
Haplochromis burtoni
Harpegnathos saltator
Helobdella robusta
Heterocephalus glaber
Hippocampus comes
Hipposideros armiger
Homarus americanus
Hyaena hyaena
Hyalella azteca
Hylobates moloch
Hyposmocoma kahamanoa
Ixodes scapularis
Labrus bergylta
Lagenorhynchus obliquidens
Lagopus leucura
Latimeria chalumnae
Lepidothrix coronata
Leptinotarsa decemlineata
Leptonychotes weddellii
Leptosomus discolor
Limulus polyphemus
Linepithema humile
Lingula anatina
Lipotes vexillifer
Loa loa
Lontra canadensis
Lottia gigantea
Loxodonta africana
Lynx rufus
Macaca nemestrina
Manacus vitellinus
Mandrillus leucophaeus
Manis javanica
Manis pentadactyla
Marmota flaviventris
Marmota marmota marmota
Marmota monax
Megachile rotundata
Megalopta genalis
Melanaphis sacchari
Meriones unguiculatus
Merops nubicus
Mesitornis unicolor
Mesocricetus auratus
Micropterus salmoides
Microtus fortis
Miniopterus natalensis
Mirounga angustirostris
Mirounga leonina
Mizuhopecten yessoensis
Molossus molossus
Monodon monoceros
Monopterus albus
Morone saxatilis
Musca domestica
Myiozetetes cayanensis
Myodes glareolus
Myotis brandtii
Myotis davidii
Myotis lucifugus
Myotis myotis
Myzus persicae
Nannospalax galili
Nanorana parkeri
Necator americanus
Neolamprologus brichardi
Neopelma chrysocephalum
Neophocaena asiaeorientalis asiaeorientalis
Nestor notabilis
Nicrophorus vespilloides
Nipponia nippon
Nomia melanderi
Notechis scutatus
Nothoprocta perdicaria
Notothenia coriiceps
Nylanderia fulva
Ochotona curzoniae
Octodon degus
Odobenus rosmarus divergens
Odocoileus virginianus texanus
Odontomachus brunneus
Onthophagus taurus
Onychostruthus taczanowskii
Opisthocomus hoazin
Orbicella faveolata
Orussus abietinus
Orycteropus afer afer
Oryx dammah
Ostrea edulis
Otolemur garnettii
Panthera pardus
Pantherophis guttatus
Papilio polytes
Papilio xuthus
Paralichthys olivaceus
Paramormyrops kingsleyae
Parasteatoda tepidariorum
Passer montanus
Pelecanus crispus
Pelodiscus sinensis
Penaeus japonicus
Phaethon lepturus
Phalacrocorax carbo
Phasianus colchicus
Phoca vitulina
Photinus pyralis
Phyllostomus hastatus
Pimephales promelas
Pipistrellus kuhlii
Pipra filicauda
Pocillopora damicornis
Poecilia formosa
Poecilia latipinna
Poecilia mexicana
Pogona vitticeps
Pogonomyrmex barbatus
Polistes canadensis
Polistes dominula
Polistes fuscatus
Pollicipes pollicipes
Priapulus caudatus
Propithecus coquereli
Protobothrops mucrosquamatus
Pseudomyrmex gracilis
Pseudonaja textilis
Pseudopodoces humilis
Pterocles gutturalis
Pteropus alecto
Pteropus giganteus
Pteropus vampyrus
Puma concolor
Puma yagouaroundi
Pundamilia nyererei
Pungitius pungitius
Pygoscelis adeliae
Pyrgilauda ruficollis
Python bivittatus
Rhagoletis pomonella
Rhagoletis zephyria
Rhinopithecus bieti
Rousettus aegyptiacus
Saimiri boliviensis boliviensis
Sapajus apella
Seriola dumerili
Seriola lalandi dorsalis
Simochromis diagramma
Sinocyclocheilus anshuiensis
Sinocyclocheilus grahami
Sinocyclocheilus rhinocerous
Sipha flava
Sitophilus oryzae
Sorex araneus
Stegastes partitus
Stegodyphus dumicola
Stomoxys calcitrans
Struthio camelus australis
Sturnira hondurensis
Sturnus vulgaris
Styela clava
Stylophora pistillata
Syngnathus scovelli
Talpa occidentalis
Tauraco erythrolophus
Temnothorax curvispinosus
Terrapene carolina triunguis
Tetranychus urticae
Thamnophis sirtalis
Thrips palmi
Tinamus guttatus
Trachymyrmex cornetzi
Trachymyrmex septentrionalis
Trachymyrmex zeteki
Trachypithecus francoisi
Trematomus bernacchii
Tribolium madens
Trichechus manatus latirostris
Trichogramma pretiosum
Tupaia chinensis
Tyto alba
Urocitellus parryii
Ursus arctos
Ursus maritimus
Vanessa tameamea
Varanus komodoensis
Varroa destructor
Varroa jacobsoni
Vicugna pacos
Vollenhovia emeryi
Vombatus ursinus
Vulpes vulpes
Wasmannia auropunctata
Xenia sp. Carnegie-2017
Zeugodacus cucurbitae
Zonotrichia albicollis
Zootermopsis nevadensis
