LOC119385856	XM_049414136.1	119385856	XP_049270093.1	34632	Rhipicephalus sanguineus
chs1	XM_027024980.2	113586674	XP_026880781.2	8005	Electrophorus electricus
LOC122622390	XM_043800798.1	122622390	XP_043656733.1	7243	Drosophila teissieri
LOC6647074	XM_015177336.2	6647074	XP_015032822.1	7260	Drosophila willistoni
LOC120454543	XM_039639922.1	120454543	XP_039495856.1	129105	Drosophila santomea
LOC108032909	XM_017106971.2	108032909	XP_016962460.1		
LOC117142251	XM_033306109.1	117142251	XP_033162000.1	7226	Drosophila mauritiana
LOC6613934	XM_032720317.1	6613934	XP_032576208.1	7238	Drosophila sechellia
Dmel_CG2666	NM_079509.3	45884	NP_524233.1	7227	Drosophila melanogaster
LOC27207284	XM_016183003.3	27207284	XP_016033301.1	7240	Drosophila simulans
LOC6535398	XM_015191648.3	6535398	XP_015047134.1	7245	Drosophila yakuba
LOC108011245	XM_036818980.1	108011245	XP_036674875.1	28584	Drosophila suzukii
LOC6500499	XM_014911100.3	6500499	XP_014766586.1	7217	Drosophila ananassae
LOC119559876	XM_037873006.1	119559876	XP_037728934.1	1486046	Drosophila subpulchrella
LOC108156158	XM_017287482.2	108156158	XP_017142971.1	7229	Drosophila miranda
LOC4802475	XM_003736692.3	4802475	XP_003736740.2	7237	Drosophila pseudoobscura
LOC117899175	XM_034809035.1	117899175	XP_034664926.1	7241	Drosophila subobscura
LOC117789806	XM_034628941.1	117789806	XP_034484832.1	198719	Drosophila innubila
LOC108603280	XM_017991941.1	108603280	XP_017847430.1	30019	Drosophila busckii
LOC117576047	XM_034260572.2	117576047	XP_034116463.2	7291	Drosophila albomicans
LOC128252708	XM_052980655.1	128252708	XP_052836615.1		
LOC119677788	XM_038089306.1	119677788	XP_037945234.1	139649	Teleopsis dalmanni
LOC111677908	XM_046947726.1	111677908	XP_046803682.1	7375	Lucilia cuprina
LOC128272531	XM_053010356.1	128272531	XP_052866316.1		
LOC126767993	XM_050485837.1	126767993	XP_050341794.1	98809	Bactrocera neohumeralis
LOC120897708	XM_040302764.1	120897708	XP_040158698.1	7173	Anopheles arabiensis
LOC120773350	XM_040102174.1	120773350	XP_039958108.1	59916	Bactrocera tryoni
LOC105226562	NM_001304727.1	105226562	NP_001291656.1	27457	Bactrocera dorsalis
LOC118468987	XM_035940398.1	118468987	XP_035796291.1	7167	Anopheles albimanus
LOC126578205	XM_050240533.1	126578205	XP_050096490.1	42839	Anopheles aquasalis
LOC125947890	XM_049673376.1	125947890	XP_049529333.1	43151	Anopheles darlingi
LOC128722135	XM_053815971.1	128722135	XP_053671946.1		
LOC120953477	XM_040373421.2	120953477	XP_040229355.1	1518534	Anopheles coluzzii
LOC121587920	XM_041905263.1	121587920	XP_041761197.1	30066	Anopheles merus
AgaP_AGAP001748	XM_321336.5	1281426	XP_321336.5	7165	Anopheles gambiae str. PEST
LOC118505388	XM_036041097.1	118505388	XP_035896990.1	30069	Anopheles stephensi
LOC125764277	XM_049428330.1	125764277	XP_049284287.1	62324	Anopheles funestus
LOC128296898	XM_053032421.1	128296898	XP_052888381.1		
LOC126556682	XM_050212106.1	126556682	XP_050068063.1	1496333	Anopheles maculipalpis
LOC128709741	XM_053804758.1	128709741	XP_053660733.1		
LOC5575776	XM_021849205.1	5575776	XP_021704897.1	7159	Aedes aegypti
LOC119076809	XM_037183794.1	119076809	XP_037039689.1	38358	Bradysia coprophila
LOC120422478	XM_052709671.1	120422478	XP_052565631.1	7175	Culex pipiens pallens
LOC6050141	XM_038261665.1	6050141	XP_038117593.1	7176	Culex quinquefasciatus
LOC119658848	XM_038066596.1	119658848	XP_037922524.1	343691	Hermetia illucens
LOC126856592	XM_050605234.1	126856592	XP_050461191.1	1086592	Cataglyphis hispanica
LOC105279913	XM_026971153.1	105279913	XP_026826954.1	2015173	Ooceraea biroi
LOC117168036	XM_033353372.1	117168036	XP_033209263.1	2817044	Belonocnema kinseyi
LOC105194172	XM_011158942.3	105194172	XP_011157244.1	13686	Solenopsis invicta
LOC105831196	XM_012671177.3	105831196	XP_012526631.1	307658	Monomorium pharaonis
LOC124951980	XM_047501172.1	124951980	XP_047357128.1	202808	Vespa velutina
LOC105691862	XM_012410629.3	105691862	XP_012266052.1	37344	Athalia rosae
LOC412215	XM_016915247.2	412215	XP_016770736.1	7460	Apis mellifera
LOC127067025	XM_051001479.1	127067025	XP_050857436.1		
LOC122631942	XM_043818203.1	122631942	XP_043674138.1	30213	Vespula pensylvanica
