#                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
XP_037509155.1       -          msaprobs_alignment_4742434 -                  0 1138.7   9.3  2.2e-185  627.2   0.3   2.5   3   0   0   3   3   2   2 LOW QUALITY PROTEIN: chitin synthase chs-1-like [Rhipicephalus sanguineus]
XP_026880781.2       -          msaprobs_alignment_4742434 -                  0 1104.4  22.8  1.7e-166  564.8   2.1   2.9   2   2   1   4   4   2   2 LOW QUALITY PROTEIN: chitin synthase 1 [Electrophorus electricus]
XP_043656733.1       -          msaprobs_alignment_4742434 -           2.2e-259  871.7   0.8  1.6e-258  868.9   0.1   1.9   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila teissieri]
XP_043656735.1       -          msaprobs_alignment_4742434 -           2.2e-259  871.7   0.8  1.6e-258  868.9   0.1   1.9   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila teissieri]
XP_039495856.1       -          msaprobs_alignment_4742434 -           2.8e-259  871.4   1.5  1.4e-258  869.1   0.1   2.0   1   1   0   2   2   1   1 chitin synthase chs-2 isoform X2 [Drosophila santomea]
XP_033162000.1       -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Drosophila mauritiana]
XP_032576208.1       -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Drosophila sechellia]
XP_033161995.1       -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila mauritiana]
XP_033161996.1       -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila mauritiana]
XP_033161997.1       -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila mauritiana]
XP_033161998.1       -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila mauritiana]
XP_032576205.1       -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila sechellia]
XP_032576206.1       -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila sechellia]
NP_524233.1          -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 krotzkopf verkehrt, isoform A [Drosophila melanogaster]
NP_996152.1          -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 krotzkopf verkehrt, isoform C [Drosophila melanogaster]
XP_016033301.1       -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila simulans]
XP_016033303.1       -          msaprobs_alignment_4742434 -           4.2e-259  870.8   1.6  1.9e-258  868.6   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila simulans]
XP_016033302.1       -          msaprobs_alignment_4742434 -           4.3e-259  870.8   1.6  2.1e-258  868.5   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X3 [Drosophila simulans]
XP_015047134.1       -          msaprobs_alignment_4742434 -           4.5e-259  870.7   2.1  1.5e-258  869.0   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila yakuba]
XP_039232274.1       -          msaprobs_alignment_4742434 -           4.5e-259  870.7   2.1  1.5e-258  869.0   0.1   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila yakuba]
XP_036674875.1       -          msaprobs_alignment_4742434 -           6.2e-259  870.3   2.2    2e-258  868.6   0.0   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila suzukii]
XP_036674876.1       -          msaprobs_alignment_4742434 -           6.2e-259  870.3   2.2    2e-258  868.6   0.0   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila suzukii]
XP_014766586.1       -          msaprobs_alignment_4742434 -           6.5e-259  870.2   0.1    7e-258  866.8   0.0   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila ananassae]
XP_014766587.1       -          msaprobs_alignment_4742434 -           6.5e-259  870.2   0.1    7e-258  866.8   0.0   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila ananassae]
XP_032305796.1       -          msaprobs_alignment_4742434 -           6.5e-259  870.2   0.1    7e-258  866.8   0.0   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila ananassae]
XP_037728934.1       -          msaprobs_alignment_4742434 -           6.9e-259  870.1   2.4    2e-258  868.5   0.0   2.0   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila subpulchrella]
XP_002096048.2       -          msaprobs_alignment_4742434 -           1.7e-258  868.8   0.6  7.2e-258  866.7   0.0   1.5   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X2 [Drosophila yakuba]
XP_017142971.1       -          msaprobs_alignment_4742434 -           1.8e-258  868.7   0.4  1.2e-257  866.0   0.1   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila miranda]
XP_017142972.1       -          msaprobs_alignment_4742434 -           1.8e-258  868.7   0.4  1.2e-257  866.0   0.1   1.8   1   1   0   1   1   1   1 chitin synthase chs-2 isoform X1 [Drosophila miranda]
